# OpenSignals Text File Format. Version 1
# {"98:D3:51:FD:71:01": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:51:FD:71:01", "device connection": "BTH98:D3:51:FD:71:01", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-4-12", "time": "10:15:47.763", "channels": [1, 2, 3, 4, 5, 6], "sensor": ["EMGBITREV", "RAW", "RAW", "RAW", "RAW", "RAW"], "label": ["A1", "A2", "A3", "A4", "A5", "A6"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2", "A3", "A4", "A5", "A6"], "special": [{}, {}, {}, {}, {}, {}], "digital IO": [0, 0, 1, 1], "convertedValues": 0}}
# EndOfHeader
0	0	0	0	0	501	498	0	554	39	9	
1	0	0	0	0	497	508	0	551	39	9	
2	0	0	0	0	498	515	0	548	39	10	
3	0	0	0	0	503	518	0	543	39	11	
4	0	0	0	0	507	516	0	537	38	12	
5	0	0	0	0	508	515	0	538	39	12	
6	0	0	0	0	505	518	0	535	39	11	
7	0	0	0	0	503	519	0	532	39	10	
8	0	0	0	0	507	521	0	524	39	9	
9	0	0	0	0	509	516	0	519	39	9	
10	0	0	0	0	512	510	0	519	39	10	
11	0	0	0	0	518	501	0	521	39	11	
12	0	0	0	0	519	489	0	527	39	12	
13	0	0	0	0	518	478	0	532	39	12	
14	0	0	0	0	513	476	0	538	39	11	
15	0	0	0	0	508	483	0	538	39	10	
0	0	0	0	0	504	492	0	536	39	9	
1	0	0	0	0	501	501	0	532	39	9	
2	0	0	0	0	501	509	0	528	39	9	
3	0	0	0	0	502	515	0	531	39	10	
4	0	0	0	0	506	515	0	524	39	11	
5	0	0	0	0	508	515	0	524	38	12	
6	0	0	0	0	505	512	0	525	38	12	
7	0	0	0	0	505	515	0	541	38	11	
8	0	0	0	0	505	518	0	561	38	9	
9	0	0	0	0	506	518	0	577	38	9	
10	0	0	0	0	510	512	0	582	39	9	
11	0	0	0	0	512	504	0	598	39	10	
12	0	0	0	0	515	496	0	615	39	11	
13	0	0	0	0	518	482	0	608	39	12	
14	0	0	0	0	514	473	0	617	39	12	
15	0	0	0	0	511	474	0	612	39	11	
0	0	0	0	0	507	483	0	621	39	10	
1	0	0	0	0	502	494	0	609	38	9	
2	0	0	0	0	499	504	0	600	39	9	
3	0	0	0	0	499	515	0	592	39	10	
4	0	0	0	0	501	518	0	583	39	11	
5	0	0	0	0	505	517	0	579	39	12	
6	0	0	0	0	507	515	0	572	39	12	
7	0	0	0	0	504	516	0	558	39	11	
8	0	0	0	0	505	519	0	544	39	10	
9	0	0	0	0	505	521	0	530	38	9	
10	0	0	0	0	509	520	0	522	39	9	
11	0	0	0	0	512	514	0	516	38	9	
12	0	0	0	0	515	504	0	512	38	10	
13	0	0	0	0	520	492	0	524	39	11	
14	0	0	0	0	520	479	0	550	39	12	
15	0	0	0	0	512	474	0	557	38	12	
0	0	0	0	0	508	479	0	575	38	11	
1	0	0	0	0	505	488	0	583	38	9	
2	0	0	0	0	500	498	0	582	39	9	
3	0	0	0	0	500	506	0	579	38	9	
4	0	0	0	0	500	515	0	571	38	10	
5	0	0	0	0	505	519	0	565	38	11	
6	0	0	0	0	507	519	0	548	38	12	
7	0	0	0	0	509	518	0	532	39	12	
8	0	0	0	0	503	519	0	522	38	11	
9	0	0	0	0	504	521	0	508	39	10	
10	0	0	0	0	506	519	0	500	39	9	
11	0	0	0	0	510	514	0	495	39	9	
12	0	0	0	0	514	508	0	496	39	10	
13	0	0	0	0	514	498	0	496	39	11	
14	0	0	0	0	518	487	0	499	39	11	
15	0	0	0	0	516	476	0	502	39	12	
0	0	0	0	0	508	475	0	501	39	11	
1	0	0	0	0	505	481	0	508	39	10	
2	0	0	0	0	503	491	0	500	39	9	
3	0	0	0	0	502	502	0	502	39	9	
4	0	0	0	0	498	512	0	501	39	9	
5	0	0	0	0	502	518	0	501	39	10	
6	0	0	0	0	505	519	0	509	38	11	
7	0	0	0	0	507	516	0	528	39	12	
8	0	0	0	0	506	516	0	531	39	12	
9	0	0	0	0	505	516	0	545	38	11	
10	0	0	0	0	504	520	0	553	39	9	
11	0	0	0	0	509	519	0	555	39	9	
12	0	0	0	0	506	515	0	568	39	9	
13	0	0	0	0	512	507	0	567	39	10	
14	0	0	0	0	517	496	0	573	39	11	
15	0	0	0	0	520	483	0	572	39	12	
0	0	0	0	0	519	475	0	571	39	12	
1	0	0	0	0	510	477	0	580	39	11	
2	0	0	0	0	505	487	0	574	39	10	
3	0	0	0	0	502	495	0	588	38	9	
4	0	0	0	0	502	504	0	583	39	9	
5	0	0	0	0	502	513	0	578	39	10	
6	0	0	0	0	501	517	0	582	39	11	
7	0	0	0	0	504	518	0	575	39	11	
8	0	0	0	0	507	515	0	576	39	12	
